puzzle,solution
000043105004060000006501000070050602069070051051006397003010006007690003685437000,892743165514962738736581924378159642269374851451826397943218576127695483685437219
100856309020703060530004178000000052204900036075000001092087610700400283003520400,147856329928713564536294178369148752214975836875632941492387615751469283683521497
200035000003400002080000409820600370506800041070020098000940750657000004040750103,294135867763498512185267439829614375536879241471523698318942756657381924942756183
703942165065710048904008073042000596059204007071530082127895630400320051506471829,783942165265713948914658273342187596859264317671539482127895634498326751536471829
001468300560000708030709120010203485000004637047080000004600070090007002275901800,721468359569312748438759126916273485852194637347586291184625973693847512275931864
310004000400000105800517003700800300000006004680040200048172036027039080136085790,315294678479368125862517943754821369293756814681943257948172536527639481136485792
573009000186300000402710683814976325000024761600103408059407006700098200348060500,573689142186342957492715683814976325935824761627153498259437816761598234348261579
080050000500820493000140508927010086060000907030007105600401830049380260308092750,483759612571826493296143578927514386165238947834967125652471839749385261318692754
504700080100200046260400700002030004350670000000902007020190005875000012910800000,534769281197258346268413759782531694359674128641982537423197865875346912916825473
000000070007090860010703450751800006030200598800560031062000000904000015300000000,593648172247195863618723459751839246436271598829564731162957384974382615385416927
804007003203019804000040002306204105000005438000930026570302600000400000460751000,814527963253619874697843512386274195729165438145938726578392641931486257462751389
013468009648700003090100060500910006000000400079386502907801005036579241054023987,213468759648795123795132864582914376361257498479386512927841635836579241154623987
134070509906002084000905301002000000000000800040500030010809240020467000003000000,134678529956312784278945361582793416369124857741586932617839245825467193493251678
023048009960073000800000730200010307406905010010020405000059870507380006109760003,723148659964573182851296734295814367476935218318627495632459871547381926189762543
080200090005813672006940300009528100307691028010704965504300719900476003738159240,183267594495813672276945381649528137357691428812734965564382719921476853738159246
042018300009050060000300478090003700405000930308529604684231590107965043003700000,742618359839457261561392478296143785415876932378529614684231597127965843953784126
860000000093004006410360500000000085008910607004287931125000369386092054709506000,862751493593824176417369528971643285238915647654287931125478369386192754749536812
000000402000006830930008106096240301301080200420603005040000600005302940600100508,867931452512476839934528176796245381351789264428613795249857613185362947673194528
107085300820007500030090020040601075005809002060050083071020098002048000003710200,197285346824367519536194827248631975315879462769452183471523698652948731983716254
100304920504009860097260504039501400208400000045806102860902735900685000002013009,186354927524179863397268514639521478218497356745836192861942735973685241452713689
010309065002156097059478013504001000000005900093002541260804000070003104430590680,817329465342156897659478213584931726126745938793682541265814379978263154431597682
602731905075000040009004760060090100000400609030610004080500000051308006000060020,642731985375986241819254763564893172128475639937612854286549317751328496493167528
000890201921574063080100594260000439408000100000000007600407310000052940002000056,534896271921574863786123594265718439478369125193245687659487312317652948842931756
000001800601000342008023156712654983906800010305900624860100230059086070034270508,523461897671598342498723156712654983946832715385917624867145239259386471134279568
240930750975006100010720809007294085450310970802050304000063200000082501020509008,248931756975846123613725849137294685456318972892657314584163297769482531321579468
800537024002049008054200000103050860009008000008000010081976040000010702947020600,896537124712649358354281976173452869529168437468793215281976543635814792947325681
